time,Temperatura_C,Umidade_Relativa_%,Velocidade_Vento_kmh,Radiacao_Solar_Wm2,Temperatura_C_MM24h,Umidade_Relativa_%_MM24h,Velocidade_Vento_kmh_MM24h,Radiacao_Solar_Wm2_MM24h,Indice_Calor_C
2026-07-10 16:00:00,21.4,70,13.6,359.0,15.420833333333333,87.79166666666667,7.6375,129.0,21.4
2026-07-10 17:00:00,20.3,76,13.6,192.0,15.454166666666666,87.83333333333333,8.0375,128.5,20.3
2026-07-10 18:00:00,18.6,82,13.4,40.0,15.516666666666666,87.95833333333333,8.4625,128.16666666666666,18.6
2026-07-10 19:00:00,17.6,86,13.8,0.0,15.595833333333331,88.08333333333333,8.933333333333332,128.16666666666666,17.6
2026-07-10 20:00:00,17.2,88,14.9,0.0,15.708333333333334,88.08333333333333,9.3875,128.16666666666666,17.2
2026-07-10 21:00:00,16.4,91,14.7,0.0,15.820833333333333,88.125,9.825000000000001,128.16666666666666,16.4
2026-07-10 22:00:00,16.1,91,14.4,0.0,15.925000000000002,88.125,10.225,128.16666666666666,16.1
2026-07-10 23:00:00,15.9,91,14.9,0.0,16.066666666666666,88.0,10.620833333333334,128.16666666666666,15.9
2026-07-11 00:00:00,15.1,95,12.1,0.0,16.195833333333336,88.04166666666667,10.941666666666668,128.16666666666666,15.1
2026-07-11 01:00:00,15.1,95,12.9,0.0,16.270833333333332,88.16666666666667,11.254166666666665,128.16666666666666,15.1
2026-07-11 02:00:00,14.9,96,12.4,0.0,16.345833333333335,88.33333333333333,11.612500000000002,128.16666666666666,14.9
2026-07-11 03:00:00,14.7,97,10.5,0.0,16.45,88.375,11.6625,128.16666666666666,14.7
2026-07-11 04:00:00,14.3,98,15.1,0.0,16.52916666666667,88.45833333333333,12.0375,128.16666666666666,14.3
2026-07-11 05:00:00,13.9,98,20.9,0.0,16.579166666666666,88.5,12.516666666666666,128.16666666666666,13.9
2026-07-11 06:00:00,13.3,97,15.8,0.0,16.595833333333335,88.5,12.833333333333334,128.16666666666666,13.3
2026-07-11 07:00:00,12.6,97,14.5,0.0,16.587500000000002,88.5,13.104166666666666,128.16666666666666,12.6
2026-07-11 08:00:00,12.1,97,12.6,4.0,16.5625,88.5,13.208333333333334,128.20833333333334,12.1
2026-07-11 09:00:00,13.1,97,8.5,89.0,16.5375,88.54166666666667,13.120833333333332,130.25,13.1
2026-07-11 10:00:00,14.3,92,9.9,168.0,16.5,88.375,13.237499999999999,130.375,14.3
2026-07-11 11:00:00,16.1,89,9.4,341.0,16.462500000000002,88.29166666666667,13.195833333333333,131.29166666666666,16.1
2026-07-11 12:00:00,16.5,87,10.6,316.0,16.354166666666668,88.54166666666667,13.1875,125.375,16.5
2026-07-11 13:00:00,18.8,77,11.7,464.0,16.295833333333334,88.625,13.1875,124.16666666666667,18.8
2026-07-11 14:00:00,19.7,73,15.9,542.0,16.2375,88.70833333333333,13.320833333333333,123.66666666666667,19.7
2026-07-11 15:00:00,19.8,69,17.2,293.0,16.158333333333335,88.70833333333333,13.470833333333333,117.0,19.8
2026-07-11 16:00:00,19.8,68,16.2,286.0,16.09166666666667,88.625,13.579166666666666,113.95833333333333,19.8
2026-07-11 17:00:00,19.0,73,11.7,196.0,16.0375,88.5,13.5,114.125,19.0
2026-07-11 18:00:00,16.8,82,9.0,49.0,15.9625,88.5,13.316666666666668,114.5,16.8
2026-07-11 19:00:00,15.6,88,10.7,0.0,15.879166666666665,88.58333333333333,13.1875,114.5,15.6
2026-07-11 20:00:00,14.7,90,10.4,0.0,15.774999999999999,88.66666666666667,13.0,114.5,14.7
2026-07-11 21:00:00,13.4,94,10.6,0.0,15.65,88.79166666666667,12.829166666666667,114.5,13.4
2026-07-11 22:00:00,13.0,96,9.2,0.0,15.520833333333334,89.0,12.612499999999999,114.5,13.0
2026-07-11 23:00:00,12.3,96,11.3,0.0,15.370833333333335,89.20833333333333,12.4625,114.5,12.3
2026-07-12 00:00:00,11.9,96,13.5,0.0,15.237499999999999,89.25,12.520833333333334,114.5,11.9
2026-07-12 01:00:00,11.5,96,13.8,0.0,15.0875,89.29166666666667,12.558333333333332,114.5,11.5
2026-07-12 02:00:00,11.5,94,14.2,0.0,14.945833333333333,89.20833333333333,12.633333333333335,114.5,11.5
2026-07-12 03:00:00,12.1,89,16.0,0.0,14.8375,88.875,12.862500000000002,114.5,12.1
2026-07-12 04:00:00,11.2,88,16.6,0.0,14.708333333333334,88.45833333333333,12.924999999999999,114.5,11.2
2026-07-12 05:00:00,11.5,88,15.8,0.0,14.608333333333334,88.04166666666667,12.712499999999999,114.5,11.5
2026-07-12 06:00:00,11.4,87,15.5,0.0,14.529166666666667,87.625,12.700000000000001,114.5,11.4
2026-07-12 07:00:00,11.1,85,15.3,0.0,14.466666666666669,87.125,12.733333333333334,114.5,11.1
2026-07-12 08:00:00,9.6,87,15.2,4.0,14.362499999999999,86.70833333333333,12.841666666666667,114.5,9.6
2026-07-12 09:00:00,9.8,84,18.9,97.0,14.225,86.16666666666667,13.275,114.83333333333333,9.8
2026-07-12 10:00:00,10.1,80,18.4,129.0,14.050000000000002,85.66666666666667,13.629166666666668,113.20833333333333,10.1
2026-07-12 11:00:00,10.8,76,17.8,221.0,13.829166666666667,85.125,13.979166666666666,108.20833333333333,10.8
2026-07-12 12:00:00,12.0,70,17.2,285.0,13.641666666666667,84.41666666666667,14.254166666666668,106.91666666666667,12.0
2026-07-12 13:00:00,12.7,68,16.6,334.0,13.387500000000001,84.04166666666667,14.458333333333334,101.5,12.7
2026-07-12 14:00:00,13.5,64,15.9,376.0,13.129166666666668,83.66666666666667,14.458333333333334,94.58333333333333,13.5
2026-07-12 15:00:00,14.2,62,16.3,326.0,12.895833333333334,83.375,14.420833333333334,95.95833333333333,14.2
2026-07-12 16:00:00,14.0,62,15.5,275.0,12.654166666666667,83.125,14.391666666666667,95.5,14.0
2026-07-12 17:00:00,13.6,66,13.3,171.0,12.429166666666667,82.83333333333333,14.458333333333336,94.45833333333333,13.6
2026-07-12 18:00:00,12.0,73,11.0,44.0,12.229166666666666,82.45833333333333,14.541666666666666,94.25,12.0
2026-07-12 19:00:00,11.5,75,14.7,0.0,12.058333333333335,81.91666666666667,14.708333333333334,94.25,11.5
2026-07-12 20:00:00,10.4,79,13.6,0.0,11.879166666666668,81.45833333333333,14.841666666666667,94.25,10.4
2026-07-12 21:00:00,9.9,82,10.0,0.0,11.733333333333333,80.95833333333333,14.816666666666665,94.25,9.9
2026-07-12 22:00:00,10.1,81,9.1,0.0,11.612499999999999,80.33333333333333,14.8125,94.25,10.1
2026-07-12 23:00:00,10.1,82,9.4,0.0,11.520833333333334,79.75,14.733333333333333,94.25,10.1
2026-07-13 00:00:00,10.2,79,11.3,0.0,11.450000000000001,79.04166666666667,14.641666666666666,94.25,10.2
2026-07-13 01:00:00,9.8,78,8.8,0.0,11.379166666666668,78.29166666666667,14.433333333333335,94.25,9.8
2026-07-13 02:00:00,9.0,83,6.0,0.0,11.275,77.83333333333333,14.091666666666667,94.25,9.0
